subject,date,difficulty,normalizedVals,normalizedSEM
aj,2017-07-27_12-26-57-PM.csv,1,0.10145494890324702,1.6800084528117623
aj,2017-07-27_12-54-48-PM.csv,1,0.09556819612872403,1.6293590979089152
aj,2017-07-28_11-25-50-AM.csv,1,0.010884266618608862,1.4684844376535577
aj,2017-07-28_11-53-40-AM.csv,1,0.01806192555844177,1.5145371800875707
aj,2017-10-02_01-23-27-PM.csv,1,0.11304209357493633,1.491621552443871
aj,2017-10-02_01-50-59-PM.csv,1,-0.05624529961551694,1.4784347202840373
aj,2017-10-04_09-24-46-AM.csv,1,-0.009364591757158536,1.5268453503686727
aj,2017-10-04_09-52-18-AM.csv,1,0.05172651877983858,1.4480715096168333
aj,2017-12-07_05-26-04-PM.csv,1,0.06276462148445328,1.429696003065847
aj,2017-12-07_05-53-47-PM.csv,1,-0.05706373967913292,1.5261616100490296
aj,2018-02-16_02-07-41-PM.csv,1,0.10174388033116655,1.5137671249341
aj,2018-02-16_02-36-29-PM.csv,1,-0.000574989453507424,1.4730240780433421
aj,2018-04-12_09-17-13-AM.csv,1,0.07050875438331916,1.558516083098301
aj,2018-04-12_09-45-20-AM.csv,1,0.02903618387678719,1.4794256607991985
aj,2018-04-16_05-19-50-PM.csv,1,-0.03838881563493102,1.535501594540711
aj,2018-04-16_05-49-02-PM.csv,1,-0.009106497787569445,1.4571115809334505
aj,2018-04-20_01-56-49-PM.csv,1,-0.0884555086329959,1.555923442928176
aj,2018-04-20_02-24-48-PM.csv,1,-0.07845213549246477,1.3992657009247569
aj,2018-06-07_09-25-12-AM.csv,1,0.09706665154727778,1.4833293695733056
aj,2018-06-07_09-53-01-AM.csv,1,-0.08337752313708391,1.5536508038523404
aj,2017-07-27_12-26-57-PM.csv,2,0.16630332268941395,1.432026235425984
aj,2017-07-27_12-54-48-PM.csv,2,0.14601805899523246,1.3811595273991855
aj,2017-07-28_11-25-50-AM.csv,2,0.19891930141643366,1.4192374814525317
aj,2017-07-28_11-53-40-AM.csv,2,-0.028453742795261583,1.4992399264448395
aj,2017-10-02_01-23-27-PM.csv,2,0.1427801186721145,1.3024199385171666
aj,2017-10-02_01-50-59-PM.csv,2,0.021326391277745493,1.2912791828887786
aj,2017-10-04_09-24-46-AM.csv,2,0.2192622113340863,1.5236165897059253
aj,2017-10-04_09-52-18-AM.csv,2,0.15682938474637798,1.44402004211949
aj,2017-12-07_05-26-04-PM.csv,2,-0.024990145124700103,1.5352454447826631
aj,2017-12-07_05-53-47-PM.csv,2,0.12519865608224157,1.3756036067585447
aj,2018-02-16_02-07-41-PM.csv,2,-0.07565321274678771,1.3578387991665612
aj,2018-02-16_02-36-29-PM.csv,2,-0.027946598331342276,1.511652198924104
